id|id_tipo_mov|id_conto|data_ins|data_mov|dare_avere|importo|note
437|1|2|28/06/2021 00:25:10|27/06/2021|f|7|
438|1|2|28/06/2021 00:28:51|21/06/2021|f|60.23|
439|1|1|28/06/2021 00:35:28|25/06/2021|f|3|
440|6|1|28/06/2021 00:36:52|24/06/2021|t|280|[Saldo del credito DeC_13] 
441|6|1|28/06/2021 00:37:05|24/06/2021|t|250|[Saldo del credito DeC_14] 
443|5|2|29/06/2021 03:53:27|28/06/2021|f|31.75|
444|1|2|29/06/2021 03:53:58|28/06/2021|f|1.49|
446|1|2|29/06/2021 18:29:11|25/06/2021|f|15|
447|1|2|29/06/2021 18:29:47|26/06/2021|f|16.1|
448|6|1|29/06/2021 18:38:01|29/06/2021|t|31.75|[Saldo del credito DeC_17] 
449|1|2|01/07/2021 02:23:10|30/06/2021|f|16|
450|1|1|06/07/2021 15:47:06|01/07/2021|f|3|
451|1|2|06/07/2021 15:47:35|05/07/2021|f|1.5|
452|1|2|06/07/2021 15:48:09|05/07/2021|f|15|
453|1|2|06/07/2021 15:48:25|05/07/2021|f|59.99|
454|1|1|06/07/2021 15:48:59|05/07/2021|f|7.5|
455|1|2|06/07/2021 15:49:33|05/07/2021|f|6|
456|1|1|06/07/2021 15:49:46|05/07/2021|f|35|
457|1|1|06/07/2021 15:51:21|01/07/2021|f|2|
458|2|2|06/07/2021 15:51:54|01/07/2021|f|10|
459|1|2|06/07/2021 15:53:13|30/06/2021|f|46.08|
460|1|2|06/07/2021 15:53:48|01/07/2021|f|8.53|
462|5|2|06/07/2021 16:03:06|22/06/2021|f|703|
463|1|2|06/07/2021 16:40:05|06/07/2021|f|6.49|
